Project,AUC,G-mean,MCC,F1,cMCC,mMCC,c_ROI_PII,m_ROI_PII,c_ROI_PCI,m_ROI_PCI,ceIFA,meIFA,Fidelity,Tree_Depth,Avg_Rule_Length,Feature_Sparsity,Jaccard_Stability(AJS),Runtime
groovy-1_6_BETA_2,0.6681918043226434,0.6505022208055407,0.22623476807254117,0.29464339253384436,0.09511462277678465,0.1517590597598033,49.20090403777048,56.2241290671548,36.86258812095713,32.019734918419424,0.029474508633999617,0.029474508633999617,1.0,6.1,4.295362793336544,0.18138461538461537,0.1274947013388706,22.50071256327443
hbase-0.94.0,0.6938817020940706,0.6832390117384983,0.34409163976202756,0.4893224985622854,0.20007534438699578,0.18901171788119364,144.49755492433928,138.73219824444658,141.90663603272657,148.8550550717298,0.006294056945910054,0.006294056945910054,1.0,6.98,4.800802979818076,0.23676923076923073,0.1254497791701094,23.918519038837402
hbase-0.95.0,0.6496142826934093,0.6382747819426896,0.2744112304204134,0.45865512964943184,0.22296644573162605,0.15370943244802548,239.2200230713275,218.51454285180728,299.37122563858463,382.7312395206603,0.004345136851737068,0.004345136851737068,1.0,8.65,5.709289797775902,0.35523076923076924,0.15986809887738682,27.738011526549236
hbase-0.95.2,0.6601572489605253,0.6395847067157584,0.3164647168565979,0.4967710830238202,0.2512822148231263,0.19569383572655302,319.6386993664543,294.9355681853675,357.2780779978615,417.8754235993084,0.004825647370711879,0.004825647370711879,1.0,8.35,5.625068076495586,0.3513846153846154,0.15818720819752813,29.11003487727605
hive-0.10.0,0.7510928410959525,0.74706138883833,0.3739304841707151,0.43945574508448304,0.2707836652658187,0.2744706409551602,171.62636365149217,165.9445465064557,156.09446307562132,149.2420842994772,0.008813261470542314,0.008813261470542314,1.0,8.02,5.209584330085438,0.2749230769230769,0.14567540379201885,27.102327357614413
hive-0.12.0,0.6875368628296651,0.67869108976123,0.22158666850010622,0.2681770410913803,0.18323777115443882,0.13200724163297994,164.52034021494168,149.27524808706434,201.55880825699833,266.2546330845734,0.004873947565144691,0.004873947565144691,1.0,9.91,6.30033192677031,0.4310769230769232,0.2054480945038221,35.70226220652461
hive-0.9.0,0.6853989141501207,0.6726787902217641,0.34007359744149923,0.4863200054642154,0.16121036290954,0.13820243632037735,171.29468815547133,162.9180890827877,177.06872390197367,186.86830612146971,0.010584219206288768,0.010584219206288768,1.0,7.78,5.139454057971355,0.26169230769230767,0.1548590730066478,26.13984789523296
jruby-1.1,0.7960770139785478,0.7917639300992205,0.4627940628677868,0.5141899141746585,0.15243563259706688,0.270127241734232,68.98087277579644,79.49529905270461,45.85320602532359,39.074125568559154,0.023010955105449624,0.023010955105449624,1.0,5.13,3.732700015670604,0.1415384615384615,0.1244371015043686,21.55381461087614
jruby-1.4.0,0.7286386503973573,0.7089460924761666,0.44381151417634995,0.5434355623482788,0.2528322313086866,0.33696991888444594,159.96357876199107,159.86980318980838,101.84122636662683,72.4455014154892,0.009672880093989122,0.009672880093989122,1.0,5.85,4.0794977294153325,0.1652307692307692,0.12392943008526085,23.408444379065187
jruby-1.5.0,0.7938744966575723,0.7892207445793314,0.3924524512616602,0.40912125900510476,0.15877715427747824,0.31542785913632443,78.79401557670715,99.12298696202359,46.22104459480792,36.15467834105515,0.024565173566899922,0.024565173566899922,1.0,6.08,4.235407631382392,0.18123076923076922,0.12820311314541544,23.93496084133163
