特征,出现文件数,出现比例,平均重要性,中位数重要性,重要性标准差,最大重要性,最小重要性,重要性总和
MAJOR_LINE,6,0.21428571428571427,0.025926149339651785,0.028439195214852806,0.010709937799875675,0.03971890721874924,0.007084865339032081,0.1555568960379107
OWN_COMMIT,2,0.07142857142857142,0.025343745906601867,0.025343745906601867,0.01750821135351006,0.04285195726011193,0.007835534553091805,0.050687491813203735
AvgLineBlank,2,0.07142857142857142,0.025230938867222254,0.025230938867222254,0.017538248929451813,0.04276918779667407,0.007692689937770439,0.05046187773444451
CountOutput_Max,16,0.5714285714285714,0.025124819348559466,0.020100410600750723,0.02129442204749597,0.09357071540516533,0.004749748486771804,0.40199710957695145
CountSemicolon,5,0.17857142857142858,0.023387052764177588,0.008830068670494204,0.030023902622780995,0.08295566293572416,0.003372319688109162,0.11693526382088794
MaxNesting_Mean,10,0.35714285714285715,0.02293332072914005,0.01655888706187207,0.015206763641586442,0.06212139946196078,0.009592376001732728,0.2293332072914005
CountClassCoupled,8,0.2857142857142857,0.022500390757316004,0.016971728487815377,0.018379426597397643,0.061887160130222996,0.003648300871497923,0.18000312605852803
AvgEssential,4,0.14285714285714285,0.021595652324230368,0.01337330923988238,0.02118614308262868,0.05724479140768749,0.0023911994094692243,0.08638260929692147
ADEV,5,0.17857142857142858,0.02137475171320801,0.015517267166210515,0.014815075119133513,0.0493625395118406,0.0074304866421497084,0.10687375856604006
CountDeclClassMethod,6,0.21428571428571427,0.020460965059119235,0.015358420651750023,0.013248404926986479,0.0392009928087718,0.006649909157400171,0.12276579035471541
OWN_LINE,10,0.35714285714285715,0.020138799348001883,0.01434821970468923,0.012300633946102594,0.03977674308651156,0.005384615384615384,0.20138799348001882
CountClassDerived,5,0.17857142857142858,0.019732689000873313,0.012958442089111635,0.011841906386830485,0.0429742378833288,0.01155450265333489,0.09866344500436657
AvgLine,8,0.2857142857142857,0.018616718855517484,0.013986719136159323,0.01605394428187525,0.05897631120912453,0.006772051969792082,0.14893375084413987
CountInput_Mean,16,0.5714285714285714,0.018229600396294687,0.01315006221140078,0.022796590764206662,0.1040068668273797,0.0024733547756440547,0.291673606340715
RatioCommentToCode,8,0.2857142857142857,0.017378288737677605,0.014888291512127148,0.011260060566981252,0.039033693579148133,0.006629128191283354,0.13902630990142084
CountLineCodeDecl,11,0.39285714285714285,0.017058392057780876,0.011142322097378279,0.015946739738812346,0.04911416409471477,0.0018243162720633203,0.18764231263558964
CountDeclInstanceVariable,5,0.17857142857142858,0.01699754073120014,0.02079794531734884,0.008185578010108498,0.02529245663574022,0.006687437977934738,0.08498770365600071
CountOutput_Mean,10,0.35714285714285715,0.015392019137600518,0.00952535528925853,0.015763397699406,0.05540496175776304,0.003965896450601678,0.15392019137600518
SumEssential,13,0.4642857142857143,0.014853170421023871,0.009963091883013867,0.011301604718025535,0.038933006031985795,0.002220719925431824,0.19309121547331032
CountLineBlank,9,0.32142857142857145,0.014730986939913185,0.009670111870852208,0.011556322140271446,0.03678556080790717,0.003586384885079859,0.13257888245921867
Del_lines,13,0.4642857142857143,0.014450930033012978,0.009538372619573913,0.00963891379256241,0.038576040085480115,0.003825477210751849,0.1878620904291687
CountPath_Min,4,0.14285714285714285,0.01362131798200411,0.013804229712598686,0.005254784675589082,0.01954187576394269,0.007334936738876375,0.05448527192801644
