,CountLineCode,CountLine,CountStmt,SumCyclomaticStrict,MaxCyclomaticStrict,SumCyclomaticModified,AvgLineCode,MaxCyclomatic,CountPath_Mean,SumCyclomatic,MAJOR_COMMIT,MaxCyclomaticModified,CountStmtDecl,CountOutput_Max,CountLineCodeExe
hbase-0.95.2,0.0,0.0,0.004268725960536024,0.007470270430938041,0.0157097246254317,0.0,0.019209266822412106,0.5705007633654665,0.015855267853419522,0.0,0.0,0.0,0.002604281552394263,0.1065013083568622,0.0
hive-0.10.0,0.0,0.021450515082834305,0.0,0.0,0.0,0.7264695367155589,0.03813424903614988,0.0,0.03336746790663114,0.008171624793460688,0.13623567812989415,0.0,0.01211323204677701,0.04554383739053782,0.0
hive-0.12.0,0.0,0.0036284351561480578,0.0,0.0,0.00816397910133313,0.0,0.7299281705450278,0.0,0.0,0.0,0.0,0.024266536775341598,0.0,0.053529176064752465,0.0
hive-0.9.0,0.0,0.008704640773167613,0.0,0.0,0.0,0.0,0.8213841541565243,0.01904140169130415,0.0192326389807808,0.0,0.0,0.0,0.006770276156908142,0.0,0.0
jruby-1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jruby-1.4.0,0.0,0.0,0.8997579673166536,0.0,0.0,0.0,0.0,0.11160946493700433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jruby-1.5.0,0.0,0.0,0.0,0.08895161780790578,0.7315729585146888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03098385507437244,0.0
jruby-1.7.0.preview1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000383551865072,0.0,0.0,0.0,0.022076546451455965,0.04419781492088304
lucene-2.3.0,0.0,0.0,0.0,0.9122858655292859,0.0,0.0,0.04508155373860426,0.0,0.0,0.0,0.0,0.0,0.016491016812658663,0.0,0.0
lucene-2.9.0,0.0,0.6874790913270213,0.0,0.0,0.0,0.0,0.008040240899871612,0.0,0.039869875890846874,0.0,0.047671928335488764,0.0,0.0728167682740935,0.01169489585435871,0.0
lucene-3.0.0,0.0,0.7710328154514137,0.003632499763427807,0.017862292225120095,0.0,0.0,0.0,0.0,0.0,0.01655021487928153,0.0,0.0,0.049896320430500775,0.005406119062110955,0.0
lucene-3.1,0.0,0.0,0.01312257435509142,0.0,0.0,0.8399159512478724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wicket-1.3.0-beta2,0.7103779169019492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719704117790842,0.0,0.015551335201510174,0.012885579740146721,0.0,0.022529808275231086,0.03304658730320913
wicket-1.3.0-incubating-beta-1,0.8543799040298872,0.006055681420217408,0.0,0.0,0.06685098033674547,0.0,0.0,0.0023200669744968716,0.0,0.0,0.005928890657580925,0.0,0.0,0.03215481816579789,0.005343248311956539
wicket-1.5.3,0.7988336639194787,0.0,0.008063927104456527,0.0,0.0,0.0,0.0,0.0,0.1355026454827387,0.02391507793233431,0.0,0.0,0.0,0.007559931660427996,0.05186294129445636
